{'rouge1': 49.6431, 'rouge2': 43.2755, 'rougeL': 49.076, 'rougeLsum': 48.8814, 'exact_match': 0.2036, 'gen_len': 12.4251}
{'rouge1': 50.9041, 'rouge2': 44.4812, 'rougeL': 50.3505, 'rougeLsum': 50.1261, 'exact_match': 0.2156, 'gen_len': 11.3114}
{'rouge1': 50.8779, 'rouge2': 45.0771, 'rougeL': 50.3367, 'rougeLsum': 50.3217, 'exact_match': 0.2156, 'gen_len': 11.2695}
{'rouge1': 51.2315, 'rouge2': 44.7907, 'rougeL': 50.6389, 'rougeLsum': 50.5727, 'exact_match': 0.2096, 'gen_len': 11.3713}
{'rouge1': 51.4962, 'rouge2': 45.2897, 'rougeL': 50.968, 'rougeLsum': 50.8667, 'exact_match': 0.2216, 'gen_len': 11.1078}
{'rouge1': 50.6042, 'rouge2': 44.574, 'rougeL': 49.9126, 'rougeLsum': 49.8012, 'exact_match': 0.2156, 'gen_len': 11.6766}
{'rouge1': 50.6894, 'rouge2': 44.6494, 'rougeL': 49.8747, 'rougeLsum': 49.9719, 'exact_match': 0.2096, 'gen_len': 11.4491}
{'rouge1': 50.9109, 'rouge2': 44.7253, 'rougeL': 49.9797, 'rougeLsum': 49.9758, 'exact_match': 0.2395, 'gen_len': 11.4431}
{'rouge1': 51.3569, 'rouge2': 45.0204, 'rougeL': 50.486, 'rougeLsum': 50.5341, 'exact_match': 0.2335, 'gen_len': 11.7246}
{'rouge1': 52.7189, 'rouge2': 46.5139, 'rougeL': 51.873, 'rougeLsum': 51.9499, 'exact_match': 0.2395, 'gen_len': 11.8204}
{'rouge1': 51.9273, 'rouge2': 45.4896, 'rougeL': 51.0954, 'rougeLsum': 51.0226, 'exact_match': 0.2156, 'gen_len': 12.0778}
{'rouge1': 51.8327, 'rouge2': 45.7273, 'rougeL': 51.1119, 'rougeLsum': 50.9677, 'exact_match': 0.2216, 'gen_len': 11.6228}
{'rouge1': 51.1003, 'rouge2': 45.0488, 'rougeL': 50.3518, 'rougeLsum': 50.3769, 'exact_match': 0.2216, 'gen_len': 11.6826}
{'rouge1': 51.1032, 'rouge2': 45.13, 'rougeL': 50.4264, 'rougeLsum': 50.4332, 'exact_match': 0.2275, 'gen_len': 11.6647}
{'rouge1': 51.0261, 'rouge2': 44.8768, 'rougeL': 50.2145, 'rougeLsum': 50.194, 'exact_match': 0.2275, 'gen_len': 11.5509}
{'rouge1': 51.3271, 'rouge2': 45.0835, 'rougeL': 50.3809, 'rougeLsum': 50.5034, 'exact_match': 0.2216, 'gen_len': 11.9281}
{'rouge1': 51.2108, 'rouge2': 45.1689, 'rougeL': 50.3369, 'rougeLsum': 50.3839, 'exact_match': 0.2216, 'gen_len': 11.7725}
{'rouge1': 51.7513, 'rouge2': 45.8546, 'rougeL': 51.1196, 'rougeLsum': 51.1168, 'exact_match': 0.2275, 'gen_len': 11.4072}
{'rouge1': 51.8187, 'rouge2': 45.6337, 'rougeL': 51.0145, 'rougeLsum': 51.0352, 'exact_match': 0.2275, 'gen_len': 11.6347}
{'rouge1': 48.5104, 'rouge2': 42.5331, 'rougeL': 47.8757, 'rougeLsum': 47.7401, 'exact_match': 0.1976, 'gen_len': 11.1317}
{'rouge1': 50.3395, 'rouge2': 44.7348, 'rougeL': 49.6849, 'rougeLsum': 49.5602, 'exact_match': 0.2156, 'gen_len': 11.479}
{'rouge1': 51.5031, 'rouge2': 45.3768, 'rougeL': 50.7854, 'rougeLsum': 50.7546, 'exact_match': 0.2216, 'gen_len': 11.7246}
{'rouge1': 51.1403, 'rouge2': 45.2695, 'rougeL': 50.4008, 'rougeLsum': 50.2227, 'exact_match': 0.2216, 'gen_len': 11.4012}
{'rouge1': 52.0928, 'rouge2': 46.4107, 'rougeL': 51.4537, 'rougeLsum': 51.3215, 'exact_match': 0.2395, 'gen_len': 11.8024}
